stand,0.8332409,0.1888205,0.8408914,0.19222759,0.8259405,0.20527631,0.84370524,0.21250723,0.8199311,0.22579741,0.8431197,0.2411753,0.8243537,0.24011351,0.83680254,0.25507158,0.82290184,0.25279042,0.83518845,0.25556436,0.8155191,0.2854473,0.82791424,0.29026157,0.81343865,0.31768963,0.8237118,0.3227297
stand,0.8339468,0.18778817,0.8380308,0.18908618,0.8283206,0.20423001,0.8374438,0.20717846,0.82427984,0.22468537,0.8340961,0.23131895,0.8259518,0.23500083,0.8290525,0.24440558,0.8241267,0.2498356,0.83082104,0.25088072,0.81899977,0.28195682,0.8271836,0.28410488,0.8167172,0.31268537,0.8231227,0.3151449
stand,0.0,0.0,0.8420339,0.18936211,0.82769835,0.19904839,0.8420559,0.20613572,0.8204234,0.21784402,0.83920735,0.23124525,0.0,0.0,0.83387053,0.24486886,0.8240523,0.24331555,0.83451545,0.24616283,0.8194105,0.27562976,0.8309619,0.27987704,0.8154485,0.30577496,0.8282887,0.31173745
stand,0.0,0.0,0.08705453,0.38115597,0.08079318,0.40543678,0.08633587,0.40848905,0.0,0.0,0.09179866,0.44933856,0.0,0.0,0.09986217,0.47435427,0.08410157,0.47675633,0.089016855,0.4792096,0.09016339,0.5280974,0.09859038,0.52910805,0.0894907,0.5742806,0.09983719,0.57783407
stand,0.0,0.0,0.13606703,0.37504518,0.13608994,0.3996456,0.13202208,0.402631,0.0,0.0,0.12999575,0.44296256,0.0,0.0,0.13500951,0.47795358,0.13626824,0.47091258,0.13400431,0.4735035,0.14463638,0.518942,0.14611194,0.5209552,0.13876264,0.56580395,0.14064696,0.5696317
stand,0.0,0.0,0.11583876,0.40097556,0.14167224,0.43799838,0.10589971,0.44046804,0.15204924,0.47093296,0.08135781,0.48773313,0.14181043,0.42766967,0.10540326,0.52205294,0.14170454,0.55298007,0.11920022,0.5564954,0.14423917,0.6417885,0.118492834,0.6490772,0.14705667,0.72504526,0.12295919,0.7315612
squat,0.0,0.0,0.33809468,0.49584427,0.33398554,0.5147856,0.32033882,0.5199196,0.34876364,0.55278474,0.3381587,0.56828696,0.36422047,0.582478,0.3599313,0.5981814,0.30894792,0.58532095,0.29714587,0.59178966,0.35157058,0.56694615,0.3344965,0.5851031,0.33182725,0.63014853,0.31512278,0.63977575
squat,0.0,0.0,0.34816894,0.49556157,0.33376035,0.5119506,0.33172175,0.5129225,0.33876356,0.55260843,0.33851472,0.5646078,0.0,0.0,0.35385126,0.60808116,0.30579627,0.5834544,0.3022368,0.5867575,0.34528336,0.56660646,0.33460996,0.57769203,0.33130023,0.6357256,0.31565425,0.640206
squat,0.0,0.0,0.33448607,0.48879844,0.33275104,0.507809,0.31780857,0.5180672,0.35487792,0.53654784,0.32963824,0.56766784,0.37846753,0.5625855,0.35633662,0.5852561,0.31086323,0.58306056,0.29916987,0.5908405,0.34933373,0.57126176,0.33192992,0.5846098,0.33179343,0.63610333,0.31464055,0.6385712
squat,0.0,0.0,0.3395673,0.50548714,0.33508843,0.5126887,0.32094076,0.5240192,0.35327706,0.54429233,0.3296431,0.5680197,0.36314982,0.56487125,0.35439962,0.573258,0.309755,0.5824518,0.29839548,0.5918253,0.3541856,0.5611702,0.3361071,0.5837611,0.3314225,0.6264341,0.31363627,0.635172
squat,0.0,0.0,0.34735024,0.49773934,0.3551379,0.52168125,0.33176896,0.52071327,0.3645304,0.5604117,0.3365917,0.5763362,0.36908707,0.5776365,0.36003414,0.58490604,0.3200557,0.5759626,0.3027005,0.577638,0.3601652,0.57441413,0.33643937,0.5858533,0.33298418,0.62780416,0.3147508,0.6416303
bend,0.0,0.0,0.35461727,0.46540838,0.35777244,0.4904056,0.33494055,0.48525244,0.35209882,0.5375227,0.33173206,0.54862475,0.35345328,0.57157946,0.34751365,0.5792152,0.31864995,0.5184795,0.30217394,0.5172374,0.34758732,0.56828386,0.32945362,0.57245904,0.33174714,0.6241415,0.3181068,0.6387703
stand,0.39621672,0.3474403,0.37645233,0.3501193,0.40731174,0.3913103,0.36427784,0.39782763,0.41432104,0.44486624,0.35098085,0.4514189,0.4182163,0.49437147,0.3518552,0.5033421,0.3973687,0.5089212,0.37257674,0.51230234,0.38442427,0.583227,0.38295278,0.594497,0.370051,0.6471842,0.3942631,0.68064696
stand,0.0,0.0,0.27719325,0.35143128,0.31017908,0.39377952,0.26485193,0.40230113,0.3200781,0.4547373,0.25793368,0.47359988,0.32178828,0.5147008,0.25531006,0.5388262,0.30752856,0.5313783,0.2777034,0.5365424,0.31611583,0.6230172,0.28293014,0.62899864,0.30793747,0.7067168,0.28559253,0.7110412
stand,0.0,0.0,0.34065303,0.37565202,0.36214834,0.42788324,0.32074928,0.43209815,0.3649838,0.5017787,0.30638644,0.5113666,0.3727376,0.5649077,0.30740947,0.582631,0.3529455,0.57453954,0.32863948,0.58017945,0.34482202,0.6740061,0.33973488,0.69050115,0.32558545,0.74990416,0.34734866,0.79830825
bend,0.0,0.0,0.38411373,0.47423398,0.38640103,0.5043942,0.355423,0.5063155,0.37393692,0.57231736,0.34271565,0.5879245,0.38159442,0.6337758,0.36746925,0.639072,0.34340447,0.59503853,0.32163075,0.59857666,0.36947685,0.68524593,0.34773836,0.69831437,0.3544633,0.78079534,0.34487295,0.8081078
